,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT
MMM,1.0,0.823658841679076,0.9167784598386255,0.9301872138283238,0.926926682190136,0.5638186047972747,0.9651027387036855,0.7645808440219053,0.20071375845648445,-0.4531393724236344,0.955385956429933,0.007487275910317956,0.9068991988982099,0.5100548866533196,0.8643816817806097,0.2838953444370813,0.7354293548191959,0.8067007448573464,0.9374392522398816,-0.004571897837948355,0.9087458373912242,0.9190050961013213,0.30798526009624644,0.21671668138992478,0.9284232405594072,0.9784836234474438,0.9252049476609353,0.8939433130002059,0.8634666884800203,0.9112345921763562,0.9389746005625501,0.7761639663366469,0.9209241082432853,0.29394234145814946,0.7666989375122576,0.9556889517051381,0.9175357359920829,0.7816189682999415,0.5251074450883004,0.8249259693178388,0.8625595881925101,0.9797578051893002,-0.6495717120393395,0.9318001177096529,0.7549590114932904,0.879952900814421,0.9385502440545445,0.9721097010058881,0.9465391145665611,-0.6668744436292089,0.8306436089649412,0.9317078999173922,0.9245014916901311,0.6932724092469286,0.2896446563248097,-0.13884012976080476,0.879701520125753,0.8858375727435649,0.4135624350883704,0.9325653933853787,0.9695739600257458,0.5631829577031883,0.7813014809969223,0.9453021984446227,-0.4659081896592953,0.8807829103907027,0.8531546849414676,0.9374444126357322,-0.2134260789359111,0.8420617438349255
ABT,0.823658841679076,1.0,0.9211303403601092,0.7270846461571335,0.7137989699587045,0.33017756505402107,0.7917791691051566,0.48571247764071623,0.16328616647049815,-0.2895607999015779,0.8287883912287874,0.38491591923856505,0.6918891835948723,0.4187556341350439,0.7858316673118287,0.43528356183458844,0.5604191629375435,0.5644370198625192,0.7533177659838665,0.28506261500110797,0.7737560113433141,0.663778268266016,0.4207874789426889,0.45975462894223784,0.6422050995642352,0.8424290856270321,0.6984587753822797,0.5377892776787497,0.5895267997177777,0.6698195956407886,0.6611987724216274,0.7601027177806094,0.6842116274472337,0.4814427153055456,0.6705982930825242,0.7893415826160225,0.6147852112162371,0.8784556625044893,0.6768869277978473,0.8871050236543391,0.8108904569017558,0.819883547644152,-0.40311429064582416,0.783781234812397,0.7957671972175578,0.7888062425922129,0.8966224175165765,0.7913065845199527,0.7161670232244953,-0.5856272553464928,0.6196600967724089,0.8943037523328192,0.7358755700559069,0.8372922068369184,0.40385950227307066,0.08736434392575093,0.7527320469775097,0.605439374500876,0.030326202319898417,0.7677827551525515,0.776909255789982,0.400956594455323,0.6260791341821629,0.7511250679233498,-0.4207427994022164,0.7244237518849745,0.7633249789105696,0.842896121064759,-0.043407136510041106,0.7561127484413342
ABBV,0.9167784598386255,0.9211303403601092,1.0,0.8520358444097998,0.8244225158858636,0.41962468493544497,0.8970209577149942,0.6118611955976941,0.1316304861857453,-0.3537253978570819,0.9032104198183465,0.20679711364516182,0.8322253234530028,0.5099005307602268,0.8152664775521846,0.34737340199733013,0.5764364732122554,0.7130319148765493,0.825110958761267,0.1097379181353404,0.8920626803554665,0.7727044508243347,0.2873875760866165,0.28891728188925647,0.7787644436186816,0.9083832107944838,0.8194178537328997,0.7282317859670491,0.691060843965101,0.8098546633728755,0.7965896851244734,0.7231150594673927,0.791937139131148,0.4251997953188547,0.6929317812867123,0.8745228203751869,0.7702455460253529,0.8386543516770747,0.5440599479517176,0.8777229201820114,0.8268714648841607,0.9079614810841942,-0.5242548387335294,0.8503913117269346,0.7585771447929103,0.8666258679559762,0.9174209828437103,0.8808772221019161,0.834917936363797,-0.6181792612448006,0.6897377817333451,0.8878658707380969,0.8450133799795516,0.79430990560055,0.32612302422075173,-0.05582570638203241,0.8468971207245165,0.7308675030162183,0.2111429738548735,0.8445599504491079,0.875641099040647,0.47666392324923645,0.6410554066785666,0.8786845474692447,-0.4282785181574217,0.7666914976056147,0.8301983411207936,0.8878789468248958,-0.11223477210287637,0.8097192675282722
ACN,0.9301872138283238,0.7270846461571335,0.8520358444097998,1.0,0.9574563813233944,0.6521756396550136,0.959620986876146,0.7531883088274376,0.1965539662281019,-0.6392729788305579,0.9568531011873186,-0.21871225299767563,0.8743514536315581,0.3961834744965929,0.7583034155009851,0.19756476641184775,0.7574281779697694,0.7907543782746336,0.9291010185979531,-0.15935917883185588,0.8916573035565228,0.9428960351338262,0.2243861561966562,0.008425471553894141,0.9093067367393888,0.9026829115066118,0.9545907099541218,0.9455840184198306,0.8925407395226275,0.9710331450903171,0.9277007372446712,0.6308687113378514,0.9016142277545491,0.0647541314653324,0.7401356823853412,0.9199015749542967,0.9465222217361944,0.5958570110178604,0.43792242183068963,0.7257289344878849,0.8099321448343475,0.9439247873900857,-0.786631771453619,0.9125423926716282,0.802088630881565,0.8771435067735358,0.8838873815869233,0.9233139064826974,0.9722296359833132,-0.7727260033013097,0.8567383942164839,0.8486834486250844,0.8581982654676169,0.844262272278506,0.05792560939109157,-0.4081220674814079,0.8026541451407637,0.9009496982970706,0.5107932248091147,0.8779435250514899,0.9213161665084936,0.6388908147476032,0.7902622990339616,0.9791290159215443,-0.44620828615782604,0.8322547339602377,0.7978633909910727,0.8919610905630001,-0.4259671316240001,0.7722214334578782
ATVI,0.926926682190136,0.7137989699587045,0.8244225158858636,0.9574563813233944,1.0,0.5598385391037596,0.9770608708958731,0.8259786845939298,0.08103406359116211,-0.6067975340801324,0.9392328297698321,-0.22883102067538347,0.8978037615910752,0.5156802367723331,0.7006149344892161,0.07795449862876068,0.7240992119642135,0.8506779228850536,0.9131939227986381,-0.19313042429789656,0.918543206098193,0.9541805319070312,0.187835063425634,0.003293015649072971,0.9090931834273226,0.9122188867103233,0.9721276923302408,0.9746145413701003,0.8619114474048274,0.9787560728507139,0.9360327089881963,0.6093843153795651,0.8944893810785604,0.1306774628286489,0.7223029615984948,0.950049169247441,0.9330873300796818,0.6101012030744429,0.37175915486810174,0.7652397384527395,0.7778888170990582,0.9403674471381263,-0.7692296601278511,0.9172219891495482,0.7425161838232609,0.9087633954634684,0.8712238764052701,0.9362337519797158,0.9670852411883236,-0.7256154915233288,0.8182642104323062,0.8582483637562222,0.9070587183351331,0.8590083341666496,0.03559036874791536,-0.38984660257651205,0.8307506578572591,0.9189402304606974,0.4769852318370653,0.9309507521005123,0.9200472582574072,0.50260499612662,0.7645938451271146,0.9695139771299706,-0.27790056484733616,0.817298076554752,0.8256420912799878,0.890609500906998,-0.34062830810195216,0.7764994438999366
AYI,0.5638186047972747,0.33017756505402107,0.41962468493544497,0.6521756396550136,0.5598385391037596,1.0,0.5137470038203277,0.2688822495906011,0.7258361862898524,-0.5311003358602026,0.6230710993326736,-0.3614339070847132,0.4440617449205312,-0.19128845176275552,0.7062444123507542,0.389377482630471,0.7994662725630999,0.20909642246711727,0.6384454216919248,0.214676350700452,0.30396862249320555,0.4841553437754133,0.6330739683625121,0.1512014530967889,0.6585532542957934,0.4594173555137392,0.6193520650151328,0.305494766483056,0.8016359714297024,0.5949733228344158,0.6129692782673537,0.5376005254210426,0.669678394640939,-0.38390204634407454,0.713618118764107,0.5259891187113983,0.7124981850413832,0.16986883355874913,0.5950636869656619,0.1949412149396012,0.7306288511382131,0.5340512471299623,-0.6831363505799891,0.4628591708167235,0.6376244728884776,0.2928781454553312,0.5151030547591231,0.6037063446306312,0.6614960709422376,-0.6756345406055094,0.7947341856630684,0.4904369006590671,0.3084098288833738,-0.5202172769297895,0.20927338224097242,-0.2183092741366426,0.24503653145091708,0.7213927593294239,0.5095579665199453,0.38056069371826956,0.5293409413864251,0.9089038617740267,0.7841293712910076,0.5655834203871953,0.49181951539328467,0.7774759402292762,0.2418069487041296,0.5563942783104457,-0.7855867105653658,0.3324204234316312
ADBE,0.9651027387036855,0.7917791691051566,0.8970209577149942,0.959620986876146,0.9770608708958731,0.5137470038203277,1.0,0.8152761547200147,0.09177724218108242,-0.5399336051126413,0.9603659339958278,-0.09391969736892697,0.915245384934738,0.5630673028756713,0.7588055975799157,0.18045476781456576,0.7092264888024983,0.8564252212509526,0.921012419062466,-0.12279467427818204,0.9562659330191042,0.9319865521803785,0.19994514496343646,0.10332485588233822,0.9033499180779726,0.9563959485940952,0.9678224588860506,0.960926364712593,0.8392148388788507,0.9655557394921156,0.9364784731876383,0.6853190589806564,0.8925421980162838,0.2621242316615542,0.7392073176306441,0.9581847414538173,0.9149688523217631,0.7253127787266513,0.41961124285311174,0.8390470946372219,0.797620375398857,0.9748437426883203,-0.700784505868245,0.9464241885112765,0.7561425461389181,0.9363947264169771,0.9228963905163562,0.953632595288271,0.9604856211095734,-0.6927131689972801,0.7966314879784824,0.906093763588681,0.9416590833785294,0.9300767060408337,0.12828815039884936,-0.2958733588030938,0.8848789789830936,0.8986155134266867,0.404556427101994,0.9558922798000614,0.9551932383593009,0.5043352479409897,0.7396639852916326,0.977718139623909,-0.5333807241576668,0.8242804857898559,0.8875273150048529,0.9250294430713017,-0.2578875785855602,0.8451583806851193
AMD,0.7645808440219053,0.48571247764071623,0.6118611955976941,0.7531883088274376,0.8259786845939298,0.2688822495906011,0.8152761547200147,1.0,-0.15048513722500542,-0.33163297387745594,0.7152195133866586,-0.20993286525285673,0.8232628802096587,0.6682265036316816,0.4383205952158574,-0.037627513814760906,0.5416405840239105,0.9217661121368762,0.7826398676583701,-0.4116024564164476,0.8043962974147648,0.7847564345312174,-0.12994537796147337,-0.12217692134066897,0.7735294819623864,0.7910003530611319,0.7896375227115114,0.8248183154798218,0.6729915977578886,0.8204987631406557,0.8084322563746307,0.42538578138248756,0.6901277850335051,0.2807359576117876,0.5676972701857651,0.7896599428821265,0.7572818355470297,0.5378303526899295,0.059803270065374274,0.6099626115333433,0.5127545616185508,0.8111961198791295,-0.4784046026780809,0.8615946561448556,0.39465020702223336,0.7734182129702732,0.6539298303298159,0.7884595904231466,0.8115561582121603,-0.3811728312178677,0.6251275957198502,0.6761326683727067,0.9002465297068837,0.909277154486846,0.055878501504549566,-0.38080302634358165,0.8703095617603895,0.7736597581285085,0.5821006219413601,0.8699060268346901,0.8212934861817308,0.17869259926518155,0.4847462665292703,0.7873201482330437,0.5034293257337116,0.585615748653758,0.8493510667162265,0.7486849375175226,-0.03587948339326647,0.8167091516588565
AAP,0.20071375845648445,0.16328616647049815,0.1316304861857453,0.1965539662281019,0.08103406359116211,0.7258361862898524,0.09177724218108242,-0.15048513722500542,1.0,-0.19278586053289684,0.25374235238837617,-0.04396889799094896,-0.03573078859300047,-0.494130492221309,0.5482636489539866,0.6953093664611225,0.6346825974610357,-0.2874582723452618,0.2665264458269942,0.5980177296248431,-0.14532352452970593,-0.2079987272761318,0.8161590389296939,0.5145129893630108,0.22338832298845493,0.11361242561957217,0.18822152514639756,-0.47046561791401104,0.47294299668971646,0.11243445109817447,0.18584119389663625,0.5359826960720131,0.283887534922077,-0.23613461104505326,0.5526581523567154,0.11428014815681753,0.2409246094585536,0.1241311156267767,0.7019967064706308,-0.007887185139351875,0.5000186524193743,0.1566753839424864,-0.20879799874914318,0.10530377646908272,0.43691133054389564,-0.12491543338711207,0.2568347075269335,0.2127776617004845,0.21381421742887505,-0.38403516144487626,0.465989430183019,0.26412529737455853,-0.1024060119756693,0.9263269596930307,0.5231671754436479,0.22219705296666287,-0.11907273965976112,0.3395023918060964,0.15459824364004315,-0.017302779680301226,0.17200652514392187,0.809435018704442,0.5417303772548424,0.08384229298418322,0.2721428048013667,0.4958938028866126,-0.026924930458084875,0.26822164562158796,-0.6381511655518926,0.09733013186829809
AES,-0.4531393724236344,-0.2895607999015779,-0.3537253978570819,-0.6392729788305579,-0.6067975340801324,-0.5311003358602026,-0.5399336051126413,-0.33163297387745594,-0.19278586053289684,1.0,-0.5764807600615468,0.5528437825195948,-0.3244542418849527,0.16101255439483353,-0.33098874841752884,0.05226872495736456,-0.6111966224969549,-0.30518200095336756,-0.5271705144902781,0.17953781368299698,-0.4429062942490801,-0.6378558233722771,-0.22954094961582588,0.2209603555634949,-0.5104035575016199,-0.44576257641971806,-0.5915375452524344,-0.6049901171921872,-0.6522820397027732,-0.6204884288183563,-0.5470032205296338,-0.2778312338217083,-0.5464948591062024,0.42642095145008213,-0.389202521459752,-0.46574019737013583,-0.605899737340715,-0.07139526646582178,-0.3021970025260493,-0.26170535218158375,-0.4808104664612789,-0.4722036562129335,0.8358236343479122,-0.46285102154861363,-0.6816947273301466,-0.4885913989143957,-0.49894298484832494,-0.44454844249530345,-0.5836685631870335,0.8341725128679318,-0.5901974683027529,-0.4502135184857738,-0.3623699567697006,0.6414672951238256,0.4127703869392458,0.616099254861937,-0.2059566317102401,-0.5505220527629533,-0.259972738507525,-0.42281558092453864,-0.45511417034308804,-0.5410757781637381,-0.6545722460326386,-0.5735288268785445,0.3488863068415671,-0.4674918771104427,-0.3341474816519761,-0.4434340314849023,0.6842653615658564,-0.2441761080752962
AET,0.955385956429933,0.8287883912287874,0.9032104198183465,0.9568531011873186,0.9392328297698321,0.6230710993326736,0.9603659339958278,0.7152195133866586,0.25374235238837617,-0.5764807600615468,1.0,-0.050344795813917945,0.8587716976242845,0.3915285820321853,0.8413320523502452,0.33019678970644256,0.7927965518944284,0.745968518315273,0.9344024082356135,-0.0029789785044013833,0.8862417356505026,0.9440524781998242,0.3715509730940398,0.19138386047449177,0.8918351098802477,0.9426995900860096,0.9296148442262177,0.8993416280371573,0.8793276288279736,0.9279569514664439,0.9065280808854823,0.7448402289851187,0.8961893037264593,0.17948556139396182,0.8120725934022708,0.9280983446693619,0.9081048053210754,0.721145838005261,0.5909710372071619,0.8082609057091013,0.8705568092702551,0.9628212704908675,-0.7243301328122954,0.9307004736254384,0.8486403695335502,0.8893939387394363,0.9681128347636503,0.9550017971316062,0.9567514060611203,-0.781767904306148,0.852233024880946,0.9337001044565738,0.8626732682618965,0.8083749972880754,0.21518129769861008,-0.27968781710407886,0.8153213064669822,0.8895977361833992,0.3807337798722247,0.8929287822366914,0.9344467639314561,0.625364619239249,0.8263061238213537,0.9529570123060389,-0.4840721964043773,0.8830084517454934,0.8251850831539078,0.9462512645213798,-0.3679443637546704,0.8155802261332015
AMG,0.007487275910317956,0.38491591923856505,0.20679711364516182,-0.21871225299767563,-0.22883102067538347,-0.3614339070847132,-0.09391969736892697,-0.20993286525285673,-0.04396889799094896,0.5528437825195948,-0.050344795813917945,1.0,0.0019886851120854776,0.23449987558273694,0.1681983337829212,0.4301817402510647,-0.21100350673450793,-0.1273710050931726,-0.15192603694281945,0.5334372430472156,-0.00842632151438627,-0.328449038561224,0.1863524430268198,0.6849143240417127,-0.25785362403481393,0.051040627208530934,-0.2266477613535706,-0.3747528005430203,-0.3374402455061577,-0.2703179595648125,-0.24569092424128533,0.2491329895150547,-0.23340638061362207,0.730175361031673,0.04086703168636661,-0.09219717842562794,-0.33617665587906537,0.5590433387064101,0.3013477909827871,0.3675906572150726,0.037774900167149704,-0.01887613774901694,0.5252046948731719,-0.014841270720221303,0.005687131600010055,0.015035860659455879,0.1299024265853342,-0.020811358826089497,-0.20424148736418923,0.3194796134820376,-0.29967079420450515,0.1505095724386301,-0.021909062636141258,0.2608748457825503,0.578381443462502,0.6232469443654192,0.14462498707448,-0.24547874456766228,-0.5820017255425834,-0.019494806082635655,-0.00814621532362608,-0.25058713336873406,-0.2334688615444267,-0.15471229709494277,-0.352034773268871,-0.08602319786163769,0.13037511630429918,0.08620801048691915,0.5501703712029782,0.18426427288127864
AFL,0.9068991988982099,0.6918891835948723,0.8322253234530028,0.8743514536315581,0.8978037615910752,0.4440617449205312,0.915245384934738,0.8232628802096587,-0.03573078859300047,-0.3244542418849527,0.8587716976242845,0.0019886851120854776,1.0,0.6859704105237807,0.6879826621986473,0.1064735491110908,0.5436785995152703,0.891336322907553,0.8306197065200008,-0.21595072739963975,0.9217630324630207,0.8569345563902602,0.0467266732915106,0.06701565290473119,0.8444886489594312,0.8817171306710071,0.88382229879299,0.8987609765218598,0.7131122337978333,0.9027070253767677,0.8660505886710096,0.5470903107634881,0.7866314470547239,0.339072888088437,0.660868105044783,0.8792192808198864,0.8458530172388817,0.6885119858803825,0.2708166577084793,0.7879680481582516,0.6840346038775276,0.9047836086328366,-0.5714727574318182,0.8851478131348935,0.5711016244256254,0.8871685160224307,0.7992631933370165,0.9082624939848583,0.9040200945591444,-0.492975904041924,0.6665957902538377,0.7802000242211788,0.911241293507151,0.09306441378876171,0.1460064603774629,-0.3008865964529589,0.9226900294080838,0.8379254432417826,0.4416828345436968,0.8911758931982745,0.9129425648870676,0.38126233538333143,0.5643846031465674,0.922955924752511,-0.47619306796661426,0.7063599786352616,0.8397735537761506,0.8415575532361722,-0.11544537365575044,0.8278581570719609
A,0.5100548866533196,0.4187556341350439,0.5099005307602268,0.3961834744965929,0.5156802367723331,-0.19128845176275552,0.5630673028756713,0.6682265036316816,-0.494130492221309,0.16101255439483353,0.3915285820321853,0.23449987558273694,0.6859704105237807,1.0,0.20083363619281006,-0.18354263392623082,-0.011661792404099957,0.7616237018708134,0.35641811616516184,-0.26763465549912085,0.6930436292375953,0.38022813754576207,-0.35407753138574055,0.01673844405026422,0.3885908374184037,0.5304495858013801,0.5048232337214615,0.6290496854668918,0.14481198705124854,0.48590109838938406,0.44612895075329745,0.2156100311901807,0.32432006910368244,0.6797006429021099,0.19942288235864558,0.5260678890587324,0.3552698182381167,0.5766027454009731,-0.20368677226890114,0.6689670905232106,0.15198517136997466,0.5238186085569534,-0.04023740812361155,0.5284546737944554,0.034831144182807264,0.6174314064670373,0.3936712789928148,0.4996468551660544,0.42713331153065337,0.10882572367367835,0.08598335868851575,0.40036800677489087,0.7038473460002906,0.8723883094228104,0.0594789122134451,-0.0012071754842577366,0.7346759843312951,0.3937560978063872,0.12600241567111728,0.6487730668877507,0.536394373675321,-0.24705012807770274,-0.02618846902488449,0.5129360936628992,-0.4198151546594419,0.20974090289204736,0.6754618417787284,0.4502015985942981,0.4497469012573102,0.6273020539251332
APD,0.8643816817806097,0.7858316673118287,0.8152664775521846,0.7583034155009851,0.7006149344892161,0.7062444123507542,0.7588055975799157,0.4383205952158574,0.5482636489539866,-0.33098874841752884,0.8413320523502452,0.1681983337829212,0.6879826621986473,0.20083363619281006,1.0,0.6010600985828701,0.7625979480246381,0.4633883434217639,0.8161245917249362,0.3698026798042416,0.6373531091805239,0.7307514280387096,0.6325095115122078,0.4728279124608842,0.7836763742066555,0.8139509370175175,0.7360804414385286,0.5483031837207956,0.7946918647191553,0.6824507648479787,0.7638712305280997,0.8718607708060375,0.806343864009064,0.22009141332850493,0.8126485654879138,0.7772445229098824,0.7672650738750182,0.7417046721534177,0.7665818700319373,0.6753925133053024,0.9093055323517443,0.8220273565999388,-0.4925910792133621,0.734221415922712,0.7726812478040231,0.6162153845575062,0.8566941388815515,0.8408683350968224,0.7748218950484536,-0.6158273014988884,0.8105912601824462,0.8541227100931439,0.6625658492789486,0.580821874962192,0.5528158004496948,0.14197224151427745,0.6297823302754044,0.7505391411857755,0.26008257300840887,0.697537183660915,0.8108346897801816,0.7449180424565557,0.8131089686672052,0.7361494281096643,-0.44887325902110725,0.905384325134203,0.6157298102538591,0.8429078681141242,-0.3145544334758892,0.6793756164200914
AKAM,0.2838953444370813,0.43528356183458844,0.34737340199733013,0.19756476641184775,0.07795449862876068,0.389377482630471,0.18045476781456576,-0.037627513814760906,0.6953093664611225,0.05226872495736456,0.33019678970644256,0.4301817402510647,0.1064735491110908,-0.18354263392623082,0.6010600985828701,1.0,0.47128837082948766,-0.12305600771211336,0.29501159089891515,0.6179632253013198,0.04490860111748806,-0.11366707413811324,0.6622273053519233,0.7097049901888358,0.14270376177854827,0.261452955737614,0.1506056120042093,-0.3815498636144939,0.29723892306038063,0.09947323859186644,0.13123187972400452,0.6319417496060454,0.16876680807792385,0.250629956085804,0.5756482978127534,0.14834357699397066,0.12955977078257244,0.49060923516344085,0.729273275836776,0.2834250924472798,0.47330024150173855,0.28752522824861143,0.10377290170028705,0.2758598447169857,0.44189454257815064,0.06929014095349442,0.4212848041319407,0.2731669949153555,0.20738910367246008,-0.20407649035851333,0.328108174129095,0.4240888132412243,0.08369325159040562,0.5570478998523413,0.7263793228761358,0.3449040048634403,0.15905773897711273,0.21211349366774238,-0.13032816818118007,0.11841485970000622,0.2816471042309475,0.5646520895679505,0.35334924636091597,0.12824006139499006,-0.31666399077713975,0.42362049270328866,0.24594184938539188,0.40994590949932924,-0.20945803790266493,0.38952280857929006
ALK,0.7354293548191959,0.5604191629375435,0.5764364732122554,0.7574281779697694,0.7240992119642135,0.7994662725630999,0.7092264888024983,0.5416405840239105,0.6346825974610357,-0.6111966224969549,0.7927965518944284,-0.21100350673450793,0.5436785995152703,-0.011661792404099957,0.7625979480246381,0.47128837082948766,1.0,0.4138164124451514,0.7977579994329044,0.21866790729627206,0.5027832743479944,0.713741026595834,0.6504615756014342,0.3084963453298102,0.7553102962451181,0.70872330022741,0.7679948948881008,0.5812751212742457,0.9054433782248983,0.7204846935853092,0.7600836298669079,0.784943851011393,0.7763605070689605,-0.08741127272827148,0.8709815553270491,0.69209278175694,0.766640971011505,0.4795042569961957,0.710771419779975,0.4950413827461952,0.8290221441030726,0.740815824604285,-0.6859886129800093,0.731181449841942,0.8014177647031236,0.5316129567071328,0.7643602317816517,0.7747185213345151,0.7943703019186495,-0.776054376833395,0.8618532213941791,0.77373819851344,0.5643036056417069,-0.5646034182107919,0.29106850549915986,-0.22061937210935045,0.4873970115644784,0.8494339040466553,0.4222367872327995,0.6541444846771816,0.742655157959294,0.7917288812957429,0.8944513011464721,0.6886506525096839,0.5993899742052379,0.8670753562282769,0.5837887040643436,0.7913413950419569,-0.6529894062362902,0.6157706145116801
